product_id,product_category,sales,price,vendor_id,pet_size,pet_type,rating,re_buy
5040,Equipment,"$123,000",94.81,VC_1605,small,fish,7,1
4567,Toys,"$61,000",120.95,VC_1132,small,cat,10,0
4237,Toys,"$218,000",106.34,VC_802,small,hamster,6,0
4364,Snack,"$69,000",241.27,VC_929,large,dog,1,1
4184,Supplements,"$138,000",133.68,VC_749,large,dog,10,0
4609,Bedding,"$183,000",51.6,VC_1174,large,cat,10,0
4380,Toys,"$79,000",175.75,VC_945,extra_small,dog,8,0
4389,Bedding,"$205,000",170.01,VC_954,large,cat,9,0
4697,Supplements,"$116,000",178.11,VC_1262,small,cat,10,0
4238,Medicine,"$141,000",248.07,VC_803,medium,dog,10,1
4650,Snack,"$185,000",188.23,VC_1215,extra_small,dog,10,1
4360,Supplements,"$50,000",127.11,VC_925,extra_small,dog,10,0
4588,Housing,"$93,000",211.47,VC_1153,medium,dog,10,1
4319,Food,"$192,000",60.11,VC_884,large,cat,3,0
4613,Supplements,"$186,000",171.6,VC_1178,medium,cat,10,1
4890,Equipment,"$182,000",173.07,VC_1455,small,dog,6,0
4777,Snack,"$229,000",45.23,VC_1342,medium,cat,7,0
4541,Equipment,"$185,000",109.45,VC_1106,extra_large,cat,10,0
4737,Food,"$129,000",153.62,VC_1302,medium,cat,7,0
4341,Food,"$126,000",10.92,VC_906,extra_large,cat,5,1
4478,Housing,"$210,000",195.98,VC_1043,medium,dog,3,1
4179,Clothes,"$93,000",233.23,VC_744,large,cat,3,0
4384,Accessory,"$204,000",134.0,VC_949,large,dog,1,1
4561,Food,"$224,000",108.64,VC_1126,extra_large,cat,10,1
4271,Medicine,"$188,000",22.01,VC_836,extra_large,fish,4,1
4464,Equipment,"$142,000",147.64,VC_1029,large,dog,6,0
4615,Accessory,"$131,000",247.51,VC_1180,extra_small,cat,10,0
4671,Food,"$8,000",233.47,VC_1236,extra_large,cat,10,1
4456,Housing,"$61,000",178.91,VC_1021,extra_large,dog,6,1
4316,Supplements,"$22,000",67.57,VC_881,extra_large,dog,6,1
4756,Medicine,"$170,000",137.53,VC_1321,small,dog,7,0
5025,Equipment,"$172,000",246.68,VC_1590,medium,bird,6,1
4595,Snack,"$117,000",122.46,VC_1160,extra_small,cat,10,0
4575,Clothes,"$74,000",88.15,VC_1140,extra_small,cat,10,1
4891,Snack,"$137,000",235.61,VC_1456,medium,cat,6,0
4513,Medicine,"$42,000",195.61,VC_1078,medium,cat,9,1
4208,Accessory,"$218,000",79.99,VC_773,medium,dog,1,1
5021,Toys,"$196,000",242.18,VC_1586,medium,bird,6,1
4224,Bedding,"$12,000",142.45,VC_789,large,bird,1,1
4938,Equipment,"$162,000",138.68,VC_1503,small,dog,6,0
4551,Snack,"$100,000",128.76,VC_1116,extra_large,cat,10,0
4477,Bedding,"$202,000",84.03,VC_1042,small,cat,6,1
4648,Accessory,"$230,000",19.36,VC_1213,medium,dog,10,0
4506,Food,"$13,000",86.79,VC_1071,extra_large,dog,9,1
4594,Food,"$143,000",11.45,VC_1159,large,dog,10,0
4813,Snack,"$53,000",92.42,VC_1378,medium,cat,2,1
4273,Grooming,"$25,000",69.29,VC_838,medium,hamster,1,0
4945,Snack,"$21,000",192.71,VC_1510,medium,cat,6,0
4913,Toys,"$213,000",174.23,VC_1478,medium,cat,6,0
4640,Equipment,"$21,000",184.7,VC_1205,extra_small,dog,10,1
4427,Grooming,"$101,000",12.27,VC_992,small,cat,2,0
4476,Clothes,"$188,000",76.04,VC_1041,extra_large,dog,9,1
4443,Clothes,"$225,000",221.14,VC_1008,medium,cat,1,1
4451,Food,"$139,000",61.39,VC_1016,extra_large,cat,2,1
4830,Equipment,"$140,000",88.93,VC_1395,small,dog,2,1
4865,Toys,"$223,000",178.88,VC_1430,medium,cat,6,1
5001,Equipment,"$110,000",204.05,VC_1566,medium,bird,6,0
5048,Toys,"$66,000",168.86,VC_1613,small,fish,7,1
4509,Clothes,"$55,000",171.28,VC_1074,large,cat,3,1
4441,Snack,"$15,000",182.39,VC_1006,extra_large,cat,8,1
4857,Equipment,"$25,000",176.25,VC_1422,medium,cat,1,1
4434,Housing,"$170,000",109.8,VC_999,large,dog,2,1
4531,Clothes,"$88,000",80.11,VC_1096,extra_large,cat,7,1
5049,Equipment,"$74,000",178.39,VC_1614,medium,bird,7,1
4818,Equipment,"$30,000",219.69,VC_1383,small,dog,2,1
4258,Housing,"$202,000",183.43,VC_823,medium,rabbit,2,0
4426,Supplements,"$228,000",241.41,VC_991,extra_large,dog,8,0
4599,Housing,"$230,000",75.45,VC_1164,large,cat,10,1
4750,Medicine,"$111,000",100.49,VC_1315,small,dog,7,1
4261,Supplements,"$25,000",114.06,VC_826,extra_large,hamster,1,1
4500,Housing,"$177,000",4.76,VC_1065,extra_small,dog,8,1
4988,Toys,"$65,000",215.31,VC_1553,small,fish,6,0
4482,Grooming,"$210,000",26.68,VC_1047,small,dog,4,1
4565,Bedding,"$85,000",28.46,VC_1130,extra_small,cat,10,1
4284,Grooming,"$202,000",203.22,VC_849,large,bird,4,0
4428,Accessory,"$140,000",86.16,VC_993,medium,dog,8,0
4215,Toys,"$178,000",156.32,VC_780,extra_small,cat,3,1
4216,Medicine,"$151,000",161.34,VC_781,extra_large,rabbit,8,0
4995,Equipment,"$25,000",93.11,VC_1560,medium,bird,6,0
4880,Toys,"$11,000",43.86,VC_1445,small,dog,6,0
4253,Food,"$71,000",216.03,VC_818,medium,fish,6,1
4373,Accessory,"$138,000",239.56,VC_938,medium,cat,5,1
4952,Toys,"$20,000",107.11,VC_1517,small,dog,6,0
4280,Housing,"$64,000",33.62,VC_845,extra_small,dog,7,0
4254,Snack,"$114,000",81.96,VC_819,large,bird,10,0
4682,Supplements,"$143,000",212.55,VC_1247,small,dog,10,1
4525,Supplements,"$115,000",186.03,VC_1090,extra_small,cat,5,0
4191,Bedding,"$160,000",229.12,VC_756,extra_large,cat,6,1
