product_id,category,animal,size,price,sales,rating,repeat_purchase
0001,Food,Bird,large,51.1,1860.62,7,1
0002,Housing,Bird,MEDIUM,35.98,963.6,6,0
0003,Food,Dog,medium,31.23,898.3,5,1
0004,Medicine,Cat,small,24.95,982.15,6,1
0005,Housing,Cat,Small,26.18,832.63,7,1
0006,Housing,Dog,Small,30.77,874.58,7,0
0007,Housing,Dog,Small,31.04,875.07,5,0
0008,Toys,Cat,medium,28.9,1074.31,4,-0
0009,Equipment,Fish,MEDIUM,17.82,503.67,5,0
0010,Medicine,Dog,medium,24.93,838.88,8,-0
0011,Food,Dog,Large,40.87,1457.22,7,1
0012,Medicine,Bird,MEDIUM,34.96,1204.6,5,1
0013,Food,Dog,MEDIUM,31.07,889.73,4,-0
0014,Food,Dog,large,40.8,1450.5,6,1
0015,Accessory,Bird,medium,33.13,859.29,4,1
0016,Accessory,Bird,large,43.09,1418.72,1,1
0017,Equipment,Cat,small,28.29,1040.51,5,1
0018,Toys,Bird,medium,43.91,1521.51,3,1
0019,Toys,Cat,Small,33.87,1333.9,6,0
0020,Toys,Dog,large,44,1792.63,7,1
0021,Food,Fish,medium,unlisted,542.06,NA,0
0022,Food,Dog,large,41,1456.58,3,0
0023,-,Bird,MEDIUM,32.98,859.94,3,0
0024,Equipment,Cat,medium,22.99,790.26,4,-0
0025,Toys,Dog,Small,38.99,1410.66,3,0
0026,Housing,Bird,large,45.83,1551.24,4,1
0027,Equipment,Cat,Small,28.24,1046,4,-0
0028,Equipment,Cat,small,28.19,1036.72,5,1
0029,Equipment,Cat,Small,27.79,1031.11,7,1
0030,Toys,Dog,Small,38.86,1405.4,5,1
0031,Equipment,Fish,Small,22.89,706.94,3,1
0032,Housing,Cat,SMALL,26.07,830.8,7,0
0033,Equipment,Cat,SMALL,28.02,1027.95,6,0
0034,Toys,Fish,medium,23.99,743.83,5,-0
0035,Equipment,Cat,small,28.25,1039.58,6,1
0036,Food,Dog,Medium,30.87,879.37,4,1
0037,Equipment,Cat,SMALL,28.09,1034.96,7,1
0038,Toys,Fish,Small,29.01,966.05,2,0
0039,Housing,Fish,large,26.13,783.84,6,1
